id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,is_active,platform,cmc_rank,is_fiat,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
1,Bitcoin,BTC,bitcoin,8911,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18785018.0,18785018.0,1,,1,0,2021-08-13T20:57:02.000Z,47536.1480726215,31236534886.37784,2.40165936,7.28723337,11.41177813,44.84941575,19.41642592,-1.29026574,892967397194.8602,45.105,998259109525.05,2021-08-13T20:57:02.000Z
2,Litecoin,LTC,litecoin,710,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,13,0,2021-08-13T20:57:02.000Z,181.10372554241687,2546798606.178978,2.91968203,9.59078552,21.80230294,37.65692782,4.22618327,-41.41207947,12089147178.433483,0.6106,15212712945.56,2021-08-13T20:57:02.000Z
74,Dogecoin,DOGE,dogecoin,379,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130840692977.98906,130840692977.98906,1,,7,0,2021-08-13T20:57:03.000Z,0.28004928841506,3394439130.528758,2.2439742,6.80892526,35.59332491,42.11548244,-13.36059783,-45.39199731,36641842964.21917,1.8508,36641842964.22,2021-08-13T20:57:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17972524.09237574,17972524.09237574,1,,28,0,2021-08-13T20:57:04.000Z,268.1868022069438,226512393.9973204,1.2544546,4.42273448,3.61046871,34.09355079,-0.84689953,-31.87323735,4819993763.921505,0.2435,4819993763.92,2021-08-13T20:57:04.000Z
1027,Ethereum,ETH,ethereum,5602,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117092586.1865,117092586.1865,1,,2,0,2021-08-13T20:57:02.000Z,3276.367034818779,24054247239.44804,1.66906445,7.3148474,12.5519441,64.48307884,28.72642961,-13.43319511,383638289403.1253,19.3542,383638289403.13,2021-08-13T20:57:02.000Z
2010,Cardano,ADA,cardano,286,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000.0,32112332686.738,32982237587.058,1,,4,0,2021-08-13T20:56:07.000Z,2.04492147338933,7171434491.024727,3.05327767,17.16716164,45.41540689,61.28267672,32.16770151,-10.87358387,65667198671.73261,3.3169,92021466302.52,2021-08-13T20:56:07.000Z
1,Bitcoin,BTC,bitcoin,8911,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18785018.0,18785018.0,1,,1,0,2021-08-13T21:03:02.000Z,47645.51213296402,31238116513.01398,2.38984008,7.43034965,11.5802205,45.06482101,18.57014768,-1.64383618,895021803036.9476,45.1083,1000555754792.24,2021-08-13T21:03:02.000Z
2,Litecoin,LTC,litecoin,710,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,14,0,2021-08-13T21:03:02.000Z,181.27736688863624,2537649538.3695154,2.73445624,9.82054219,22.06438903,37.90015417,3.63948754,-41.70555344,12100738192.2816,0.6105,15227298818.65,2021-08-13T21:03:02.000Z
74,Dogecoin,DOGE,dogecoin,379,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130840692977.98906,130840692977.98906,1,,7,0,2021-08-13T21:03:03.000Z,0.28084252872936,3390496876.42765,2.12461761,7.20863571,35.96647838,42.16827848,-13.71270913,-45.57158365,36745631076.64027,1.8519,36745631076.64,2021-08-13T21:03:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17972524.09237574,17972524.09237574,1,,28,0,2021-08-13T21:03:04.000Z,268.5550738929088,226743008.45874524,1.28392598,4.5871721,3.46477446,33.86361595,-1.41578475,-32.30493201,4826612535.670051,0.2435,4826612535.67,2021-08-13T21:03:04.000Z
