,name,symbol,slug,num_market_pairs,is_active,cmc_rank,last_updated,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.last_updated
0,Bitcoin,BTC,bitcoin,8904,1,1,2021-08-17T20:59:02.000Z,-1.09671654,-2.34064553,-1.3978069,42.03787347,26.65778984,17.13922212,2021-08-17 20:59:02+00:00
1,Litecoin,LTC,litecoin,713,1,15,2021-08-17T20:59:02.000Z,-1.29008022,-3.52516742,3.59527337,45.04489808,12.03444249,-12.9697037,2021-08-17 20:59:02+00:00
2,Dogecoin,DOGE,dogecoin,383,1,7,2021-08-17T20:59:03.000Z,-1.5016657,-4.95981944,18.01624669,68.65214734,5.860744,-11.58895028,2021-08-17 20:59:03+00:00
3,Monero,XMR,monero,161,1,29,2021-08-17T20:59:04.000Z,-1.32163633,-3.98189978,-1.25688193,31.36655544,-0.85727639,17.1908604,2021-08-17 20:59:04+00:00
4,Ethereum,ETH,ethereum,5580,1,2,2021-08-17T20:59:02.000Z,-1.55809907,-3.0701437,-2.67806627,61.89367464,39.89185646,20.81086249,2021-08-17 20:59:02+00:00
5,Cardano,ADA,cardano,291,1,4,2021-08-17T20:58:08.000Z,0.15358602,-4.12935515,25.32928845,69.95906129,43.78368835,32.50191801,2021-08-17 20:58:08+00:00
6,Bitcoin,BTC,bitcoin,8904,1,1,2021-08-17T21:04:02.000Z,-0.65769226,-2.28393316,-1.4868864,42.24193882,26.16009669,16.1317605,2021-08-17 21:04:02+00:00
7,Litecoin,LTC,litecoin,713,1,15,2021-08-17T21:04:02.000Z,-1.02464162,-4.09685612,3.16894239,44.92679171,11.56680121,-14.47261249,2021-08-17 21:04:02+00:00
8,Dogecoin,DOGE,dogecoin,383,1,7,2021-08-17T21:04:03.000Z,-1.31851265,-5.04870737,18.30838837,68.51463214,5.60178522,-12.83715446,2021-08-17 21:04:03+00:00
9,Monero,XMR,monero,161,1,29,2021-08-17T21:04:04.000Z,-1.337519,-4.39431443,-1.86658675,31.1004112,-1.78876436,14.82058728,2021-08-17 21:04:04+00:00
10,Ethereum,ETH,ethereum,5580,1,2,2021-08-17T21:04:02.000Z,-0.94556411,-3.05178859,-3.07900172,61.79685685,39.54129664,19.07194545,2021-08-17 21:04:02+00:00
11,Cardano,ADA,cardano,291,1,4,2021-08-17T21:03:12.000Z,0.10076953,-4.42141818,22.24055708,69.79403826,42.77703137,28.57831014,2021-08-17 21:03:12+00:00
12,Bitcoin,BTC,bitcoin,8904,1,1,2021-08-17T21:09:02.000Z,-0.6944529,-2.53575148,-1.98415327,41.71482036,25.7685235,16.99730084,2021-08-17 21:09:02+00:00
13,Litecoin,LTC,litecoin,713,1,15,2021-08-17T21:09:02.000Z,-1.39222484,-4.29129954,2.60949666,44.15379185,11.07347022,-13.80989072,2021-08-17 21:09:02+00:00
14,Dogecoin,DOGE,dogecoin,383,1,7,2021-08-17T21:09:03.000Z,-1.46200164,-4.96940174,17.92787516,67.41808959,4.57804818,-11.71668531,2021-08-17 21:09:03+00:00
15,Monero,XMR,monero,161,1,29,2021-08-17T21:09:04.000Z,-1.66958438,-4.6110505,-2.65003714,30.19185997,-2.10437398,16.5418861,2021-08-17 21:09:04+00:00
16,Ethereum,ETH,ethereum,5580,1,2,2021-08-17T21:09:02.000Z,-1.18722314,-3.38602869,-3.49083053,60.89242816,38.10572137,20.16149835,2021-08-17 21:09:02+00:00
17,Cardano,ADA,cardano,291,1,4,2021-08-17T21:08:08.000Z,1.16803777,-4.69702125,21.96091169,69.17744724,42.04316687,29.91868302,2021-08-17 21:08:08+00:00
18,Bitcoin,BTC,bitcoin,8904,1,1,2021-08-17T21:14:02.000Z,-0.46324331,-2.41083618,-1.67888593,41.96614094,26.15262914,18.68192134,2021-08-17 21:14:02+00:00
19,Litecoin,LTC,litecoin,713,1,15,2021-08-17T21:14:02.000Z,-1.01053188,-4.0961546,2.82577385,44.04659373,11.45429102,-12.48470091,2021-08-17 21:14:02+00:00
20,Dogecoin,DOGE,dogecoin,383,1,7,2021-08-17T21:14:03.000Z,-0.60903799,-4.77254478,18.22710398,67.84830555,4.92982257,-8.57503074,2021-08-17 21:14:03+00:00
21,Monero,XMR,monero,161,1,29,2021-08-17T21:14:04.000Z,-1.41872851,-4.34916503,-2.3640715,30.51911691,-1.67877543,18.91081073,2021-08-17 21:14:04+00:00
22,Ethereum,ETH,ethereum,5580,1,2,2021-08-17T21:14:02.000Z,-0.84255933,-3.24036451,-3.13468172,61.07167739,38.93932127,22.44375361,2021-08-17 21:14:02+00:00
23,Cardano,ADA,cardano,291,1,4,2021-08-17T21:13:08.000Z,0.2806982,-4.90207686,21.34593324,69.24445931,42.46188411,35.0657811,2021-08-17 21:13:08+00:00
24,Bitcoin,BTC,bitcoin,8904,1,1,2021-08-17T21:19:02.000Z,-0.04456282,-2.42058522,-1.4825733,41.44439731,26.02829051,20.19819943,2021-08-17 21:19:02+00:00
25,Litecoin,LTC,litecoin,713,1,15,2021-08-17T21:19:02.000Z,-0.89495653,-4.39640487,2.87603741,42.56806789,11.02188307,-11.14873514,2021-08-17 21:19:02+00:00
26,Dogecoin,DOGE,dogecoin,383,1,7,2021-08-17T21:19:03.000Z,-0.33705954,-4.83250547,18.23781572,65.98693054,4.44633385,-7.82247676,2021-08-17 21:19:03+00:00
27,Monero,XMR,monero,161,1,29,2021-08-17T21:19:04.000Z,-1.08707335,-4.68629718,-2.57627501,29.42936107,-2.29566452,22.48814199,2021-08-17 21:19:04+00:00
28,Ethereum,ETH,ethereum,5580,1,2,2021-08-17T21:19:02.000Z,-0.97656535,-3.71481597,-3.33422735,59.74678715,37.87183841,23.6434902,2021-08-17 21:19:02+00:00
29,Cardano,ADA,cardano,291,1,4,2021-08-17T21:19:08.000Z,0.54505645,-4.71238211,20.15672895,67.71834914,41.86094984,36.51576444,2021-08-17 21:19:08+00:00
30,Bitcoin,BTC,bitcoin,8904,1,1,2021-08-17T21:24:02.000Z,-0.10692369,-2.59805258,-1.93068156,41.24207301,25.98830617,17.71189887,2021-08-17 21:24:02+00:00
31,Litecoin,LTC,litecoin,713,1,15,2021-08-17T21:24:02.000Z,-0.69482783,-4.55734766,2.34022151,42.74413593,10.87401195,-11.47507284,2021-08-17 21:24:02+00:00
32,Dogecoin,DOGE,dogecoin,383,1,7,2021-08-17T21:24:03.000Z,0.0160891,-5.34544835,17.19759086,64.98065859,3.55700264,-11.06788189,2021-08-17 21:24:03+00:00
33,Monero,XMR,monero,161,1,29,2021-08-17T21:24:04.000Z,-1.05365856,-4.62016423,-2.90558213,29.31633972,-2.39410751,19.98756418,2021-08-17 21:24:04+00:00
34,Ethereum,ETH,ethereum,5580,1,2,2021-08-17T21:24:02.000Z,-0.89412805,-4.23589576,-3.98785177,59.31801897,37.5647048,20.43388189,2021-08-17 21:24:02+00:00
35,Cardano,ADA,cardano,291,1,5,2021-08-17T21:23:08.000Z,-0.27277771,-5.33012369,17.43929259,66.45793219,40.95694899,32.70371819,2021-08-17 21:23:08+00:00
