news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers,news_id,rank_score,eventid
https://coinpedia.org/guest-post/1-million-bitcoin-processors-could-be-relocated-to-alberta-from-china/,https://crypto.snapi.dev/images/v1/i/n/crypto11-51902.jpg,Up to 1 Million Bitcoin Processors Could be Relocated to Alberta from China Under the Energy Firm's Proposal,"Ever since the start of the COVID-19 pandemic, the popularity of cryptocurrencies has risen rapidly. Several governments and private firms have started to invest vast sums of capital in expanding the Cryptocurrency industry. However, it should also be noted that digital currencies are still not considered a medium of exchange in many economies. Overall, there …",CoinPedia,"Wed, 18 Aug 2021 02:18:46 -0400",[],Neutral,Article,['BTC'],51902,5.71,
https://decrypt.co/78803/bitcoin-mining-revenue-up-35-million-day-since-china-crackdown,https://crypto.snapi.dev/images/v1/8/1/bitcoin-mining-gid-1-51829.jpg,Bitcoin Mining Revenue Up $35 Million Per Day Since China Crackdown,Bitcoin miners will have to properly time exchanges into dollars to take advantage of rising Bitcoin prices.,Decrypt,"Tue, 17 Aug 2021 18:22:10 -0400",['mining'],Neutral,Article,['BTC'],51829,6.11,
https://www.benzinga.com/markets/cryptocurrency/21/08/22519040/bitcoin-adoption-and-how-to-buy-bitcoin-in-canada,https://crypto.snapi.dev/images/v1/e/w/ewan-kennedy-edctzxsfvau-unsplash-51494.jpg,Bitcoin Adoption and How to Buy Bitcoin in Canada,Photo by Ewan Kennedy on Unsplash It's clear bitcoin is having a breakthrough year in 2021.,Benzinga,"Mon, 16 Aug 2021 14:43:19 -0400",[],Positive,Article,['BTC'],51494,6.25,
https://cointelegraph.com/news/gosats-launches-bitcoin-cashback-rewards-card-in-india,https://crypto.snapi.dev/images/v1/4/r/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjetmdgvzgq4zdexzwqtzwu2ys00yjm3lwe0m2utyte1zjizowuxy2qxlmpwzw-51101.jpg,GoSats launches Bitcoin cashback rewards card in India,Users will be able to earn yield paid in BTC on all the rewards they've accumulated through the app.,Cointelegraph,"Sun, 15 Aug 2021 13:00:00 -0400",[],Positive,Article,['BTC'],51101,6.22,
https://ambcrypto.com/canada-has-embraced-bitcoin-but-have-the-people/,https://crypto.snapi.dev/images/v1/i/t/blockchain-3440455-1280-e1628776625171-50602.jpg,The story of Bitcoin adoption in Canada seems strange,"Canada has been one of the pioneering countries to approve cryptocurrency exchange-traded funds [ETFs]. However, a recent survey indicated that despite the lenient guidelines for investors, the people were not convinced about the safety of their investment.",AMBCrypto,"Fri, 13 Aug 2021 04:00:10 -0400",[],Neutral,Article,['BTC'],50602,6.01,
https://cointelegraph.com/news/buying-bitcoin-is-like-entering-a-minefield-bank-of-russia-exec-says,https://crypto.snapi.dev/images/v1/t/q/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjetmdgvzdezngi2m2ytm2q4yy00ndq4lwfjngitzgm0owe3otuwnje1lmpwzw-50287.jpg,"Buying Bitcoin is like entering a minefield, Bank of Russia exec says",The Bank of Russia expressed concerns over the increasing number of local investors pouring their money into Bitcoin.,Cointelegraph,"Thu, 12 Aug 2021 06:12:20 -0400",[],Positive,Article,['BTC'],50287,6.22,
https://bitcoinmagazine.com/markets/federal-reserve-tapers-china-bitcoin,https://crypto.snapi.dev/images/v1/h/j/fedwatch-repos-china-taper-50177.png,"How Taper Talk, Repos, China And U.S. Legislation Are Impacting The Bitcoin Market","Discussing how potential tapering by the Federal Reserve, economics in China, U.S. legislation and more through a Bitcoin lens.",Bitcoin Magazine,"Wed, 11 Aug 2021 20:00:00 -0400",[],Neutral,Article,['BTC'],50177,5.62,
https://www.theblockcrypto.com/post/113861/american-public-bitcoin-miner-btc-july-china,https://crypto.snapi.dev/images/v1/m/f/20210809-na-miners-surge-797x450-49822.jpg,These five North American firms mined 58% more bitcoin in July thanks to China,"Five North American bitcoin mining firms have churned out a total of 1,802 bitcoin in July – on average 58% more than what they did in June. The post These five North American firms mined 58% more bitcoin in July thanks to China appeared first on The Block.",The Block,"Tue, 10 Aug 2021 21:53:26 -0400",[],Neutral,Article,['BTC'],49822,6.1,
https://www.newsbtc.com/news/bitcoin/the-new-china-model-banned-bitcoin-mining/,https://crypto.snapi.dev/images/v1/i/s/great-wall-of-china-5483516-1280-750x500-49824.jpg,Could The New “China Model” Be The Reason The Country Banned Bitcoin Mining?,What is the new “China Model”? And why would that country ban an industry that made them the ultimate leaders in the most important development in recent times?,NewsBTC,"Tue, 10 Aug 2021 22:02:05 -0400",[],Negative,Article,['BTC'],49824,5.86,
https://www.cryptodaily.co.uk/2021/08/1-million-bitcoin-mining-machines-China-Alberta,https://crypto.snapi.dev/images/v1/9/u/min-1-49582.jpeg,1 million bitcoin mining machines on the way from China to Alberta,"In a deal being struck by Black Rock Petroleum Company, up to 1 million bitcoin mining machines will be relocated to three natural gas-producing sites in Alberta.  After the Chinese purge of bitcoin mining from the country, a huge amount of mining machinery has come up for grabs to countries where cryptocurrency mining is still encouraged.",Crypto Daily,"Tue, 10 Aug 2021 09:12:36 -0400",['mining'],Neutral,Article,['BTC'],49582,5.36,
https://thecurrencyanalytics.com/bitcoin/bitcoin-btc-bullish-crypto-community-senses-america-is-great-again-31997.php,https://crypto.snapi.dev/images/v1/y/k/bitcoin-28-49774.jpg,Bitcoin (BTC) Bullish Crypto Community Senses America is Great Again,"Catch up on the latest crypto market news at The Currency Analytics. I'm pleased to announce that Senators Warner, Toomey, Sinema, Lummis & I have reached an agreement on an amendment to… The post Bitcoin (BTC) Bullish Crypto Community Senses America is Great Again appeared first on Cryptocurrency News.",The Currency Analytics,"Tue, 10 Aug 2021 17:00:46 -0400",[],Positive,Article,['BTC'],49774,4.93,
https://thecurrencyanalytics.com/bitcoin/china-and-us-governments-will-only-strengthen-bitcoin-btc-it-in-the-end-31930.php,https://crypto.snapi.dev/images/v1/r/f/bitcoin-23-49127.jpg,China and US Governments Will Only Strengthen Bitcoin (BTC) It in the End,Catch up on the latest crypto market news at The Currency Analytics. Decentralized investment will ultimately be regulated.,The Currency Analytics,"Mon, 09 Aug 2021 05:00:38 -0400",[],Positive,Article,['BTC'],49127,4.93,
https://cointelegraph.com/news/xiaomi-retailer-in-portugal-now-accepts-bitcoin-payments,https://crypto.snapi.dev/images/v1/d/k/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjetmdgvnddimdfkzgmtzdjjyy00yzjhlwe1zdqtyjcwmjc1ngm0zmq5lmpwzw-48474.jpg,Xiaomi retailer in Portugal now accepts Bitcoin payments,The official Portuguese shop of Chinese electronics giant Xiaomi has partnered with Utrust to unlock payments in five cryptocurrencies.,Cointelegraph,"Fri, 06 Aug 2021 03:43:14 -0400",[],Positive,Article,['BTC'],48474,6.67,J66
https://cointelegraph.com/news/bitcoin-mining-ban-in-china-a-game-changer-for-electric-vehicle-adoption,https://crypto.snapi.dev/images/v1/u/w/840-ahr0chm6ly9zmy5jb2ludgvszwdyyxbolmnvbs91cgxvywrzlziwmjetmdgvodk2zddiodqtyjk3mc00ogu2ltk5zjetyze3ymmxnze0mja1lmpwzw-48494.jpg,Bitcoin mining ban in China a 'game changer' for electric vehicle adoption,"Guizhou province is the first in China to announce an ambitious electric vehicle campaign, taking advantage of the power capacity freed up by Beijing's Bitcoin mining ban.",Cointelegraph,"Fri, 06 Aug 2021 05:42:05 -0400",['mining'],Neutral,Article,['BTC'],48494,6.17,
https://coingape.com/chinese-brand-xiaomi-steers-clear-of-portugal-mi-store-bitcoin-payment-ad/,https://crypto.snapi.dev/images/v1/6/y/webpnet-resizeimage-17-48522.jpg,Chinese Brand Xiaomi Steers Clear of Portugal MI Store Bitcoin Payment Ad,China's leading smartphone manufacturer Xiaomi has announced that the recent advertisement for Bitcoin and crypto payment made by the Portugese MI store has no connection with the company's operation. A Facebook advertisement posted by the MI store indicated that it would accept payments in Bitcoin and a few other cryptocurrencies.,Coingape,"Fri, 06 Aug 2021 06:36:38 -0400",[],Neutral,Article,['BTC'],48522,5.74,
https://coinfomania.com/xiaomi-inc-denies-bitcoin-involvement/,https://crypto.snapi.dev/images/v1/w/w/webpnet-resizeimage-14-48723.jpg,Mi Store Portugal Now Accepts Bitcoin Although Xiaomi Inc. Knows Nothing ABout It,"The official retail store for Chinese multinational electronics company, Xiaomi, Mi Store Portugal revealed that it will start accepting crypto payments. According to a recent report, Mi Store Portugal disclosed that customers can now purchase all Xiaomi products with five different cryptocurrencies.",Coinfomania,"Fri, 06 Aug 2021 07:26:25 -0400",[],Neutral,Article,['BTC'],48723,5.68,J66
https://www.dcforecasts.com/bitcoin-news/xiaomi-shops-in-portugal-start-accepting-bitcoin-payments/,https://crypto.snapi.dev/images/v1/k/i/portugal-48618.png,Xiaomi Shops In Portugal Start Accepting Bitcoin Payments,Electronics giant's Xiaomi shops in Portugal will start accepting Bitcoin payments after partnering with Utrust to unlock this new feature in five cryptocurrencies as we can see more in our latest Bitcoin news. Chinese electronics manufacturer Xiaomi is the latest company to get involved in the crypto industry as its Xiaomi shops in Portugal will […],DCForecasts,"Fri, 06 Aug 2021 11:24:11 -0400",[],Positive,Article,['BTC'],48618,5.35,J66
https://www.dcforecasts.com/bitcoin-news/bakkt-is-bringing-btc-payments-to-stores-across-the-united-states/,https://crypto.snapi.dev/images/v1/6/c/cryptocurrency-48625.jpg,Bakkt Is Bringing BTC Payments To Stores Across The United States,Bakkt is bringing BTC payments to stores across the United States under a new partnership with restaurant quick-service Quiznos as we are reading more in our latest BTC news. Digital asset marketplace Bakkt is bringing btc payments as it announced in a new partnership with the restaurant chain Quiznos to launch the first physical location […],DCForecasts,"Fri, 06 Aug 2021 11:31:51 -0400",[],Positive,Article,['BTC'],48625,4.9,
https://www.forbes.com/sites/siladityaray/2021/08/05/paris-based-fund-manager-first-to-get-eu-regulatory-green-light-for-bitcoin-pegged-etf/,https://crypto.snapi.dev/images/v1/n/s/paris-based-fund-manager-first-to-get-eu-regulatory-green-light-for-bitcoin-pegged-etf-49329.jpg,Paris-Based Fund Manager First To Get EU Regulatory Green Light For Bitcoin-Pegged ETF,Melanion Capital's fund will invest in stocks that intend to have up to a 90% correlation with the price of Bitcoin.,Forbes,"Thu, 05 Aug 2021 06:56:10 -0400",['regulations'],Positive,Article,['BTC'],49329,6.74,
https://u.today/xiaomi-starts-accepting-bitcoin-ethereum-and-other-cryptocurrencies-in-portugal,https://crypto.snapi.dev/images/v1/k/q/adobestock-300502381-editorial-use-only-48293.jpeg,"Xiaomi Starts Accepting Bitcoin, Ethereum and Other Cryptocurrencies in Portugal",Xiaomi's Portuguese branch has started accepting cryptocurrency payments,UToday,"Thu, 05 Aug 2021 12:11:00 -0400",[],Positive,Article,"['BTC', 'ETH']",48293,6.73,J66
https://ambcrypto.com/paris-based-fund-manager-gets-green-light-for-eu-regulated-bitcoin-etf/,https://crypto.snapi.dev/images/v1/u/g/bitcoin-2007912-1280-1-e1628164298144-48325.jpg,Paris-based fund manager gets green light for EU-regulated Bitcoin ETF,"The European Union has approved a French fund manager's filing for an exchange-traded fund [ETF] which will track Bitcoin‘s price closely. This will make Melanion Capital among the first companies to offer the world's largest cryptocurrency through mutual funds in Europe, as per reports.",AMBCrypto,"Thu, 05 Aug 2021 13:30:21 -0400",[],Positive,Article,['BTC'],48325,6.46,J55
https://coingape.com/france-based-melanion-capital-secures-regulatory-approval-for-an-etf-tracking-bitcoin-btc/,https://crypto.snapi.dev/images/v1/r/z/bitcoin-etf-sweden-fsa-48111.jpg,France-based Melanion Capital Secures Regulatory Approval for An ETF Tracking Bitcoin (BTC),"The latest report shows that France-based fund manager Melanion Capital has received a regulatory go-ahead for an exchange-traded fund that seeks to track the price of Bitcoin (BTC) while satisfying the laws in Europe. In the information provided to Financial Times, Melanion Capital noted that the fund is 90% correlated to Bitcoin.",Coingape,"Thu, 05 Aug 2021 04:44:08 -0400",['regulations'],Positive,Article,['BTC'],48111,5.96,
https://en.cryptonomist.ch/2021/08/05/a-bitcoin-etf-approved-in-europe/,https://crypto.snapi.dev/images/v1/m/p/bitcoin-etf-1-48154.jpg,A Bitcoin ETF approved in Europe,It will be a fund that replicates the prices of a basket of equities linked to the price of BTC,The Cryptonomist,"Thu, 05 Aug 2021 06:58:15 -0400",[],Positive,Article,['BTC'],48154,5.83,J55
https://en.cryptonomist.ch/2021/08/05/india-olympic-winners-also-awarded-with-bitcoin/,https://crypto.snapi.dev/images/v1/5/m/tokyo-olympics-1-48263.jpg,India: Olympic winners also awarded with bitcoin,"This is not a state initiative, but a promotion of a crypto exchange",The Cryptonomist,"Thu, 05 Aug 2021 10:39:30 -0400",[],Positive,Article,['BTC'],48263,5.38,
https://coinidol.com/bank-of-america-endorses-buekele/,https://crypto.snapi.dev/images/v1/c/0/211135af9c9cf11e5f2e9f52ab6576c5-48180.jpg,El Salvador Feels More Confident about Bitcoin as Bank of America Endorses President Buekele's Policy,"Although President Nayib Bukele was confident about his country's decision to recognize Bitcoin as legal tender, he was nearly brought down by widespread institutional criticism from agencies such as the International Monetary Fund (IMF), the World Bank and others. However, the recent endorsement from Bank of America gives Bukele renewed vigor and enthusiasm to continue pursuing the Bitcoin dream.",Coin Idol,"Thu, 05 Aug 2021 08:12:00 -0400",[],Positive,Article,['BTC'],48180,5.02,
https://u.today/first-eu-regulated-etf-that-tracks-bitcoin-price-to-launch-in-france,https://crypto.snapi.dev/images/v1/o/5/adobestock-100749427-47941.jpeg,First EU-Regulated ETF That Tracks Bitcoin Price to Launch in France,Melanion Capital will launch an exchange-traded fund that closely tracks the price of Bitcoin with a basket of stocks,UToday,"Wed, 04 Aug 2021 13:39:00 -0400",[],Neutral,Article,['BTC'],47941,5.83,
https://coinfomania.com/melanion-capital-bitcoin-fund/,https://crypto.snapi.dev/images/v1/u/f/bitcoin-ivestment-apps-48727.jpg,Paris-based Fund Manager to Launch Fund With Up to 90% Bitcoin Price Exposure,"French asset manager Melanion Capital is set to launch an EU-regulated fund that closely tracks the price of bitcoin, according to a Financial Times report on Wednesday. If successful, this will be the first time that investors in the region will be able to get exposure to Bitcoin through a mutual-fund investment vehicle.",Coinfomania,"Wed, 04 Aug 2021 18:28:08 -0400",[],Positive,Article,['BTC'],48727,5.23,
https://www.youtube.com/watch?v=gLE9dgfBWwk,https://crypto.snapi.dev/images/v1/e/4/chinese-bitcoin-miners-are-look-to-the-west-amid-china-crackdown-plus-a-look-at-us-regulators-47563.jpg,"Chinese bitcoin miners are look to the West amid China crackdown, plus a look at US regulators",#bitcoinmining #Chinamining #bitcoinChina Chinese mining firms are looking to the United States amid the China crackdown on crypto. CoinDesk Global Macro Editor Emily Parker joins Yahoo Finance's Zack Guzman and Akiko Fujita to discuss.,Yahoo Finance,"Tue, 03 Aug 2021 12:57:20 -0400","['mining', 'regulations']",Negative,Video,['BTC'],47563,6.61,
https://www.theblockcrypto.com/linked/113424/bakkt-quiznos-bitcoin-test-denver,https://crypto.snapi.dev/images/v1/w/p/20200728-bakkt-generic-800x450-47583.jpg,Bakkt partners with Quiznos to pilot bitcoin payments in Denver,"Select restaurants of Quiznos will test accepting bitcoin in certain locations in Denver, Colorado beginning in mid-August. The post Bakkt partners with Quiznos to pilot bitcoin payments in Denver appeared first on The Block.",The Block,"Tue, 03 Aug 2021 14:15:23 -0400",[],Positive,Article,['BTC'],47583,6.55,J35
https://dailyhodl.com/2021/08/03/here-are-the-four-upsides-to-el-salvadors-bitcoin-adoption-according-to-bank-of-america/,https://crypto.snapi.dev/images/v1/b/a/ng9119jpgfit10242c600ssl1-47579.jpg,"Here Are the Four Upsides to El Salvador's Bitcoin Adoption, According to Bank of America","Bank of America (BofA), one of the largest banks in the US, believes El Salvador has a lot to gain from its decision to adopt Bitcoin. In a report shared by El Salvador's President Nayib Bukele to a state-owned publication, BofA highlights the four key upsides to the country's Bitcoin adoption.  The bank says that remittances […] The post Here Are the Four Upsides to El Salvador's Bitcoin Adoption, According to Bank of America appeared first on The Daily Hodl.",The Daily Hodl,"Tue, 03 Aug 2021 13:30:58 -0400",[],Positive,Article,['BTC'],47579,6.49,J31
https://www.youtube.com/watch?v=n2CHF3EP2ZU,https://crypto.snapi.dev/images/v1/8/p/theres-more-bitcoin-up-for-grabs-amid-china-crackdown-riot-blockchain-ceo-47562.jpg,There's more bitcoin up for grabs' amid China crackdown: Riot Blockchain CEO,#bitcoin #bitcoinmining #Chinabitcoinminingcrackdown Chinese bitcoin miners are heading to Texas. Riot Blockchain CEO Jason Les joins Yahoo Finance's Zack Guzman and Akiko Fujita to discuss.,Yahoo Finance,"Tue, 03 Aug 2021 13:05:34 -0400",[],Neutral,Video,['BTC'],47562,6.34,
https://www.thecryptoupdates.com/russia-is-gearing-up-for-bitcoin/,https://crypto.snapi.dev/images/v1/q/m/flag-russia-big-480x320-47592.jpg,Russia Is Gearing Up For Bitcoin,"Russia, a nation actually wrestling with different parts of managing digital currencies might be mellowing its position on the resource class, as ongoing occasions demonstrate....",TCU,"Tue, 03 Aug 2021 14:44:01 -0400",[],Positive,Article,['BTC'],47592,5.5,J37
