,news_url,image_url,title,text,source_name,date,topics,sentiment,tickers,rank_score
0,https://www.forbes.com/sites/billybambrough/2021/08/21/urgent-warning-issued-over-the-future-of-bitcoin-even-as-the-crypto-market-price-smashes-past-2-trillion/,https://crypto.snapi.dev/images/v1/1/k/urgent-warning-issued-over-the-future-of-bitcoin-even-as-the-crypto-market-price-smashes-past-2-trillion-53018.jpg,‘Urgent' Warning Issued Over The Future Of Bitcoin Even As The Crypto Market Price Smashes Past $2 Trillion,"As bitcoin and cryptocurrencies begin to carve out a place among traditional assets, technologists have warned that advances in quantum computing could mean the encryption that underpins bitcoin is ""fundamentally"" undermined as soon as 2026—unless the software is updated...",Forbes,2021-08-21 10:30:18+00:00,[],Neutral,['BTC'],6.52
1,https://ambcrypto.com/vaneck-and-proshares-withdraw-eth-etf-applications/,https://crypto.snapi.dev/images/v1/y/l/ethereum-3818347-1280-e1629525290291-52990.jpg,"VanEck, ProShares withdraw their Ethereum ETF applications","Just a couple of days ago, asset management firm VanEck had applied with the United States Securities and Exchange Commission [SEC] for an Ethereum exchange-traded fund [ETF]. However, the firm has decided to take its application back.",AMBCrypto,2021-08-21 07:00:32+00:00,[],Negative,['ETH'],6.46
2,https://ambcrypto.com/why-bitcoins-breakout-towards-50k-is-all-but-confirmed/,https://crypto.snapi.dev/images/v1/j/u/chess-1483735-1280-52978.jpg,Why Bitcoin's breakout towards $50k is all but confirmed,"Bitcoin‘s price action has been exciting enough to keep traders and investors on the edge of their seats over the last few weeks. After oscillating close to $45k for two days in a row, the crypto finally retested and breached the $48k level.",AMBCrypto,2021-08-21 05:45:03+00:00,[],Positive,['BTC'],6.46
3,https://cryptoslate.com/cardano-ada-sets-price-highs-ahead-of-smart-contract-update/,https://crypto.snapi.dev/images/v1/e/6/cardano-ath-52979.jpg,Cardano (ADA) sets price highs ahead of smart contract update,"Input-Output Hong Kong (IOHK), a blockchain infrastructure research and engineering company behind the development of the proof-of-stake Cardano (ADA) platform is on track with completing its smart contract mission as the announcement of the hard fork date, which will mark the downing of the new era, boosted the token's price to its record high of […] The post Cardano (ADA) sets price highs ahead of smart contract update appeared first on CryptoSlate.",CryptoSlate,2021-08-21 06:09:13+00:00,[],Positive,['ADA'],6.34
4,https://www.coindesk.com/liquid-exchange-hacker-covers-tracks-by-sending-20m-to-eth-mixer,https://crypto.snapi.dev/images/v1/b/3/nick-chong-0bo235rhqec-unsplash-1-1140x760-52876-53065.jpg,Liquid Exchange Hacker Covers Tracks by Sending $20M to ETH Mixer,"Other portions of the stolen $90 million have ended up at Uniswap, Huobi, Binance and Poloniex, blockchain data shows.",Coindesk,2021-08-21 15:14:12+00:00,[],Negative,['ETH'],6.28
5,https://u.today/bitcoin-retakes-49000-after-hitting-3-month-high-day-earlier,https://crypto.snapi.dev/images/v1/q/r/9260-53026.jpg,"Bitcoin Retakes $49,000 After Hitting 3-Month High Day Earlier","The world's leading cryptocurrency has just recaptured the $49,000 level and it keeps rising",UToday,2021-08-21 11:04:00+00:00,[],Positive,['BTC'],6.28
6,https://cryptopotato.com/bitcoin-neared-50k-highest-since-may-and-51-monthly-weekend-watch/,https://crypto.snapi.dev/images/v1/7/7/bitcoinhighgreen-53001.jpg,Bitcoin Neared $50K: Highest Since May and 51% Monthly (Weekend Watch),"After a 51% increase in a month, bitcoin finally broke above $49,000 and tapped a three-month high at nearly $50,000.",CryptoPotato,2021-08-21 08:12:13+00:00,[],Positive,['BTC'],6.25
7,https://beincrypto.com/sec-fines-bitconnect-promoters-3-5m/,https://crypto.snapi.dev/images/v1/c/d/bic-artwork-learn-section-53047.jpg,"SEC Fines BitConnect Promoters $3.5M, Must Also Hand Over 190 BTC.","The U.S. Securities and Exchange Commission (SEC) has concluded its judgement on three key individuals tied to the now defunct BitConnect project. The post SEC Fines BitConnect Promoters $3.5M, Must Also Hand Over 190 BTC.",BeInCrypto,2021-08-21 13:00:00+00:00,['regulations'],Neutral,['BTC'],6.2
8,https://decrypt.co/79096/400bn-wealth-manager-neuberger-berman-green-lights-bitcoin-investments,https://crypto.snapi.dev/images/v1/8/5/bitcoin-futures-gid-1-53044.jpg,$400bn Wealth Manager Neuberger Berman Green-Lights Bitcoin Investments,The company said that up to 5% of its Commodity Strategy Fund can now be invested in Bitcoin products.,Decrypt,2021-08-21 12:36:38+00:00,[],Positive,['BTC'],6.16
9,https://decrypt.co/79103/more-than-70000-eth-has-now-been-burned-by-eip-1559,https://crypto.snapi.dev/images/v1/s/8/ukx-dwnkxsa-resized-gid-2-53069.jpg,"More Than 70,000 ETH Has Now Been Burned By EIP-1559",The Ethereum network has removed $221 million from circulation since an update that changed the way miners are rewarded came into force.,Decrypt,2021-08-21 15:45:11+00:00,[],Neutral,['ETH'],6.16
10,https://dailyhodl.com/2021/08/21/whales-move-more-than-1340000000-in-ethereum-as-markets-improve-heres-where-the-crypto-is-going/,https://crypto.snapi.dev/images/v1/t/k/eth-whales-move-1jpgfit10242c600ssl1-53054.jpg,"Whales Move More Than $1,340,000,000 in Ethereum As Markets Improve – Here's Where the Crypto Is Going","As the crypto markets start to heat up after a season of cooldown, Ethereum (ETH) and Bitcoin (BTC) whales are staying active, moving nearly $2 billion in crypto assets over the past 24 hours. In a series of six transactions, crypto whales relocated 411,799 ETH worth more than $1.34 billion to various wallets within five […] The post Whales Move More Than $1,340,000,000 in Ethereum As Markets Improve – Here's Where the Crypto Is Going appeared first on The Daily Hodl.",The Daily Hodl,2021-08-21 13:55:10+00:00,['whales'],Positive,['ETH'],6.15
11,https://invezz.com/news/2021/08/21/sec-receives-applications-to-withdraw-two-separate-ether-etf-proposals/,https://crypto.snapi.dev/images/v1/r/t/118178578-united-states-securities-and-exchange-commission-sec-logo-on-entrance-of-dc-building-near-h-street-53003.jpg,SEC receives applications to withdraw two separate Ether ETF proposals,"The US SEC has gotten used to receiving and rejecting Bitcoin ETFs, as it simply believes that the time is not right for such products and that not a single proposal that it received so far is good enough to be approved. However, recently, it started receiving proposals for ETFs with exposure to Ether. The […] The post SEC receives applications to withdraw two separate Ether ETF proposals appeared first on Invezz.",Invezz,2021-08-21 08:24:14+00:00,['regulations'],Negative,['ETH'],6.11
12,https://bitcoinist.com/no-more-ethereum-etfs-proshares-vaneck-withdraw-ether-etf-proposals/?utm_source=rss&utm_medium=rss&utm_campaign=no-more-ethereum-etfs-proshares-vaneck-withdraw-ether-etf-proposals,https://crypto.snapi.dev/images/v1/d/j/jievani-weerasinghe-zhi7m-fxpmu-unsplash-1-342x420-53008.jpg,"No More Ethereum ETFs? Proshares, VanEck Withdraw Ether ETF Proposals","Merely two days ago, fund managers VanEck and ProShares filed with the U.S. Securities and Exchange Commission (SEC) to bring Ethereum exchange-traded funds (ETFs) to the U.S. markets. However, the two firms broke news on Friday that they have both chosen to withdraw their active applications.",Bitcoinist,2021-08-21 09:05:36+00:00,[],Negative,['ETH'],6.1
13,https://cryptopotato.com/btc-forms-another-higher-high-are-bulls-aiming-for-50k-weekend-breakout-bitcoin-price-analysis/,https://crypto.snapi.dev/images/v1/r/t/btcusd-aug21-p2-min-scaled-53016.jpg,"BTC Forms Another Higher-High, Are Bulls Aiming For $50K Weekend Breakout? (Bitcoin Price Analysis)","The bitcoin price has shown impressive strength lately, outperforming global stock markets, despite a risk-off environment and a rising U.S. dollar. On Friday, BTC retested the local highs at $48.1k and managed to make a solid 4-hour close above resistance, leading to a robust daily close at $49.3k.",CryptoPotato,2021-08-21 10:03:15+00:00,['tanalysis'],Positive,['BTC'],6.09
14,https://dailyhodl.com/2021/08/21/ethereum-outpacing-bitcoin-to-new-record-high-according-to-cryptoquant-ceo/,https://crypto.snapi.dev/images/v1/d/x/eth-highjpgfit10242c600ssl1-52996.jpg,"Ethereum Outpacing Bitcoin to New Record High, According to CryptoQuant CEO","The CEO of on-chain analysis firm CryptoQuant, Ki Young Ju, thinks that Ethereum (ETH) could outperform Bitcoin (BTC) over the long term. Ki Young Ju tells his 239,700 followers that Ethereum could hit a new record high before Bitcoin does. Part of the CEO's reasoning is that Ethereum is closer to its all-time high (ATH) relative […] The post Ethereum Outpacing Bitcoin to New Record High, According to CryptoQuant CEO appeared first on The Daily Hodl.",The Daily Hodl,2021-08-21 07:04:11+00:00,[],Positive,['ETH'],6.04
15,https://dailyhodl.com/2021/08/20/coinbase-investing-500000000-in-diverse-portfolio-of-bitcoin-and-crypto-assets,https://crypto.snapi.dev/images/v1/k/u/bitcoin-flowjpgfit10242c600ssl1-53032.jpg,"Coinbase Investing $500,000,000 in ‘Diverse Portfolio' of Bitcoin and Crypto Assets","Coinbase CEO Brian Armstrong says that the cryptocurrency exchange will purchase digital assets worth more than half a billion dollars to add to its existing holdings. Armstrong says that Coinbase will be allocating 10% of its quarterly profits toward the purchase of crypto assets in the future. “We recently received board approval to purchase over […] The post Coinbase Investing $500,000,000 in ‘Diverse Portfolio' of Bitcoin and Crypto Assets appeared first on The Daily Hodl.",The Daily Hodl,2021-08-21 11:45:12+00:00,[],Positive,['BTC'],6.04
16,https://dailyhodl.com/2021/08/21/cardano-could-skyrocket-to-this-insane-price-according-to-crypto-trader-michael-van-de-poppe/,https://crypto.snapi.dev/images/v1/b/i/cardano-blastjpgfit10242c600ssl1-53014.jpg,"Cardano Could Skyrocket to This ‘Insane' Price, According to Crypto Trader Michaël van de Poppe","A prominent crypto trader is sharing his bullish price targets for the smart contract platform Cardano (ADA). In a new video, market analyst Michaël van de Poppe tells his 115,000 YouTube subscribers that he believes Cardano's meteoric rise is not over yet. The third-largest crypto asset has appreciated by more than 110% in the past […] The post Cardano Could Skyrocket to This ‘Insane' Price, According to Crypto Trader Michaël van de Poppe appeared first on The Daily Hodl.",The Daily Hodl,2021-08-21 09:00:15+00:00,[],Positive,['ADA'],6.04
17,https://beincrypto.com/neuberger-berman-commodity-fund-permitted-to-invest-5-in-btc-futures/,https://crypto.snapi.dev/images/v1/j/n/bic-btc-onchain-analysis-53028.jpg,Neuberger Berman Commodity Fund Permitted to Invest 5% in BTC Futures,"Multibillion-dollar asset management firm Neuberger Berman can now invest a small percentage of its assets in cryptocurrency. By way of bitcoin (BTC) futures, and BTC exchange traded funds (ETFs) based in Canada.",BeInCrypto,2021-08-21 11:20:31+00:00,['futures'],Positive,['BTC'],6.03
18,https://coingape.com/as-bitcoin-btc-approaches-50000-here-are-key-technical-obstacles-to-watch-for/,https://crypto.snapi.dev/images/v1/x/2/bitcoin-sp-500-52974.jpeg,"As Bitcoin (BTC) Approaches $50,000, Here Are Key Technical Obstacles to Watch For","Bitcoin (BTC) has advanced another 4% in the last 24 hours making its way to $50,000. As of press time, Bitcoin is trading 3.86% up at a price of $48,832 and a market cap of $920 billion.",Coingape,2021-08-21 04:30:55+00:00,['tanalysis'],Negative,['BTC'],6.03
19,https://ambcrypto.com/ethereum-the-road-to-3500-is-clear-but/,https://crypto.snapi.dev/images/v1/f/m/ethereum-6304140-1280-53025.jpg,Ethereum: The road to $3500 is clear but…,"With the cumulative market cap back above $2 trillion, all eyes are on the top two cryptos. Bitcoin's breakout from its recent consolidation has created room for the king coin and altcoins to move higher.",AMBCrypto,2021-08-21 11:00:19+00:00,[],Positive,['ETH'],6.01
