total_pages,Total_Positive,Total_Negative,Total_Neutral,Sentiment_Score,Neutral,Positive,Negative,sentiment_score,date,ticker
1,36,10,39,0.918,39,36,10,0.918,2021-08-13,BTC
1,17,7,14,0.763,14,17,7,0.763,2021-08-13,ETH
1,33,0,6,1.423,6,33,0,1.423,2021-08-13,ADA
1,3,0,2,1.3,2,3,0,1.3,2021-08-13,LTC
1,5,3,5,0.615,5,5,3,0.615,2021-08-13,DOGE
1,27,8,33,0.904,33,27,8,0.904,2021-08-18,BTC
1,12,4,10,0.846,10,12,4,0.846,2021-08-18,ETH
1,6,2,3,0.818,3,6,2,0.818,2021-08-18,ADA
1,0,1,1,-0.25,1,0,1,-0.25,2021-08-18,LTC
1,4,0,10,1.143,10,4,0,1.143,2021-08-18,DOGE
