Neutral,Positive,Negative,sentiment_score,date,ticker,Total Positive,Total Negative,Total Neutral,Sentiment Score
2,1,0,1.167,2021-08-21,ADA,83,13,26,1.074
7,5,2,0.821,2021-08-21,BTC,245,84,166,0.823
2,1,0,1.167,2021-08-21,DOGE,95,6,44,1.224
6,4,0,1.2,2021-08-21,ETH,116,42,91,0.811
6,30,1,1.338,2021-08-20,ADA,83,13,26,1.074
31,62,12,1.01,2021-08-20,BTC,245,84,166,0.823
3,5,2,0.75,2021-08-20,DOGE,95,6,44,1.224
16,14,7,0.716,2021-08-20,ETH,116,42,91,0.811
3,3,0,1.25,2021-08-20,LTC,7,4,8,0.658
2,1,0,1.167,2021-08-20,XMR,2,6,6,0.0
1,16,0,1.471,2021-08-19,ADA,83,13,26,1.074
29,40,22,0.615,2021-08-19,BTC,245,84,166,0.823
5,15,1,1.238,2021-08-19,DOGE,95,6,44,1.224
10,16,12,0.421,2021-08-19,ETH,116,42,91,0.811
1,0,1,-0.25,2021-08-19,LTC,7,4,8,0.658
2,0,0,1.0,2021-08-19,XMR,2,6,6,0.0
3,9,2,0.964,2021-08-18,ADA,83,13,26,1.074
37,47,16,0.835,2021-08-18,BTC,245,84,166,0.823
12,13,1,1.154,2021-08-18,DOGE,95,6,44,1.224
13,25,6,0.943,2021-08-18,ETH,116,42,91,0.811
1,1,1,0.333,2021-08-18,LTC,7,4,8,0.658
0,1,0,1.5,2021-08-18,XMR,2,6,6,0.0
5,11,3,0.895,2021-08-17,ADA,83,13,26,1.074
26,37,17,0.7,2021-08-17,BTC,245,84,166,0.823
6,17,1,1.25,2021-08-17,DOGE,95,6,44,1.224
13,21,10,0.67,2021-08-17,ETH,116,42,91,0.811
0,1,1,0.0,2021-08-17,LTC,7,4,8,0.658
0,0,4,-1.5,2021-08-17,XMR,2,6,6,0.0
7,8,7,0.386,2021-08-16,ADA,83,13,26,1.074
21,35,14,0.75,2021-08-16,BTC,245,84,166,0.823
11,28,1,1.288,2021-08-16,DOGE,95,6,44,1.224
23,29,5,1.035,2021-08-16,ETH,116,42,91,0.811
1,2,0,1.333,2021-08-16,LTC,7,4,8,0.658
1,0,2,-0.667,2021-08-16,XMR,2,6,6,0.0
2,8,0,1.4,2021-08-15,ADA,83,13,26,1.074
15,19,1,1.2,2021-08-15,BTC,245,84,166,0.823
5,16,0,1.381,2021-08-15,DOGE,95,6,44,1.224
10,7,2,0.921,2021-08-15,ETH,116,42,91,0.811
2,0,1,0.167,2021-08-15,LTC,7,4,8,0.658
1,0,0,1.0,2021-08-15,XMR,2,6,6,0.0
